Title,Company,Address,Activity Type,About,General Lead Summary,Estimated New Jobs,Timeframe,Created
"Protocase (45Drives) - Wilmington, North Carolina  -  -",Protocase (45Drives),"Wilmington, North Carolina, United States",New Facility,"Protocase, also known as 45Drives, is a leading custom electronic enclosure manufacturer that specializes in providing solutions for the aerospace and technology industries. Founded in 2000, Protocase has evolved into a global manufacturing firm with a strong focus on innovation and customer satisfaction. 
","Protocase and its subsidiary 45Drives have launched production ahead of schedule at their newly secured 12,000-square-foot facility in Wilmington, North Carolina. Initially focusing on sub-assembly for 45Drives, the facility will transition to full production within the next year, assembling high-performance servers like the Storinator Hybrid and Stornado F16. The expansion strengthens Protocase’s U.S. manufacturing presence, integrating operations with its headquarters in Sydney, Nova Scotia. Company leaders emphasized their commitment to U.S.-based production, innovation in precision manufacturing, and job creation in the region.

",,Undetermined,"By La'Teef Hicks on Mar 3, 2025"
"Nodal Exchange - Vienna, Virginia  -  -",Nodal Exchange,"Vienna, Virginia, 22180, United States",New Facility,"Nodal Exchange is a derivatives exchange that provides price, credit, and liquidity risk management solutions to participants in the North American commodities markets. It is a leader in innovation, offering over 1,000 power contracts and the largest set of environmental futures and options contracts globally. 
","Nodal Exchange, a subsidiary of Deutsche Boerse Group’s EEX Group, is expanding its operations in Vienna, Virginia, with a $300,000 investment expected to create 33 jobs in Fairfax County. The expansion aims to strengthen the company’s trading and clearing platforms while benefiting from the area’s deep technology talent pool and proximity to Washington, D.C. The Virginia Jobs Investment Program will support recruitment and training efforts. Nodal Exchange specializes in price, credit, and liquidity risk management for environmental and electric power futures and options, with transactions cleared through its subsidiary, Nodal Clear.",33,Undetermined,"By SmartSuite Form on Mar 3, 2025"
"Flex - Dallas, Texas  -  -",Flex,"Dallas, Texas, United States",New Facility,"Flex is a global leader in electronics manufacturing services, offering end-to-end solutions from design to delivery. With operations in over 30 countries, Flex supports a diverse range of industries including aerospace, automotive, and consumer electronics. 
","Flex has announced plans to open a 400,000-square-foot manufacturing facility in Dallas, Texas, aimed at producing power products such as power pods, power distribution units, and low-voltage switchgear. The new facility will enhance Flex’s production capacity and efficiency for its grid-to-chip data center power infrastructure solutions. This move follows Flex’s acquisition of Crown Technical Systems in October 2024 and aims to support the increasing demand for power infrastructure driven by AI adoption. The plant will combine technical fabrication and assembly with utility-grade capabilities to reduce production lead times for U.S. customers.",,Undetermined,"By SmartSuite Form on Mar 3, 2025"
"Prime Metal Buildings & Components - Stephenville, TexasPrime Metal Buildings & Components - Weatherford, Texas  -  -", Prime Metal Buildings & Components | Prime Metal Buildings & Components,"Stephenville, Texas, United States | Weatherford, Texas, United States",Expansion,"Prime Metal Buildings & Components is a leading manufacturer and supplier of metal buildings and components, serving various industries including commercial, equestrian, and dairy. 
","The company is also relocating its Dublin retail branch to Stephenville, where it will establish a flagship 48,000-square-foot location opening in spring 2026. The expansion aims to enhance accessibility, increase fabrication capacity, and better serve North Central Texas customers. While the company’s headquarters will remain in Dublin, the move will create new jobs and support long-term growth in manufacturing operations.

",,2026 + ,"By La'Teef Hicks on Mar 3, 2025"
"Carris Reels - Enfield, Connecticut  -  -",Carris Reels,"Enfield, Connecticut, United States",New Facility,"Carris Reels is an employee-owned company specializing in the production of wood reels, plastic reels, and recycled reels for the wire and cable industry. Founded in 1951, it has a strong commitment to customer service excellence and operates with a focus on sustainability. 
","Carris Reels, a Vermont-based manufacturer of wooden, plastic, and metal reels for the wire and cable industry, is seeking to rezone 17.5 acres in Enfield, Connecticut, to support future expansion. The company, which has operated in its current Enfield facility for over 100 years, aims to construct a new, energy-efficient production facility. The rezoning request includes four properties near its existing site. While no formal development plans have been submitted yet, Carris Reels intends to design the new facility in 2025 and apply for site permits by year-end.

",,2025 - 4th Quarter,"By La'Teef Hicks on Mar 3, 2025"
"True Anomaly Inc. - Long Beach, California  -  -",True Anomaly Inc.,"Long Beach, California, United States",Expansion,"True Anomaly Inc. is a technology company focused on developing innovative space security solutions. Founded in 2022 by space operators and technologists, the company aims to enhance the capabilities of the U.S. and its allies through advanced spacecraft and software technologies. 
","True Anomaly Inc. is expanding into Southern California with a new 90,000-square-foot factory in Long Beach. The facility, which includes 20,000 square feet of office space, will support new product development, vertical integration, and classified operations. Located in the aerospace hub of ""Space Beach,"" the expansion grants True Anomaly access to new talent and customers, including Space Systems Command. The company’s headquarters will remain in Centennial, Colorado, with the Long Beach site serving as a key production and development hub.

",,Undetermined,"By La'Teef Hicks on Feb 24, 2025"
"L3Harris Technologies - Camden, New Jersey  -  -",L3Harris Technologies,"Camden, New Jersey, United States",New Construction,"L3Harris Technologies is a leading aerospace and defense technology company that provides solutions across air, land, sea, space, and cyber domains. Known for its innovative products and services, the company is a major player in the global defense industry. 
","L3Harris Technologies has begun construction on four new solid rocket motor production facilities at its Camden site as part of a $215.6 million cooperative agreement with the Defense Department. The expansion aims to increase domestic rocket propulsion manufacturing to meet growing defense demands. The project includes a 60,000-square-foot facility to centralize production, a dedicated mixer building, and propellant processing buildings.

",,Undetermined,"By La'Teef Hicks on Feb 24, 2025"
"West Star Aviation, LLC - Chattanooga, Tennessee  -  -","West Star Aviation, LLC","Chattanooga, Tennessee, United States",Expansion,"West Star Aviation, LLC is a leading Maintenance, Repair, and Overhaul (MRO) provider in the business aviation industry. They specialize in airframe repair, engine maintenance, avionics, and interior refurbishment. 
","West Star Aviation, a leading independent MRO provider, is expanding its Chattanooga manufacturing facility with a $32 million investment, creating 200 new jobs in Hamilton County. The expansion aims to accommodate larger aircraft and enhance service capabilities. This marks the company’s third expansion in Tennessee, reinforcing the region’s aerospace industry. State and local officials, including Governor Bill Lee, praised the project for its economic impact and job creation.

",200,Undetermined,"By La'Teef Hicks on Feb 24, 2025"
"Duracell - Atlanta, Georgia  -  -",Duracell,"Atlanta, Georgia, United States",New Facility,"Duracell is a leading manufacturer of alkaline batteries, specialty cells, and rechargeables, known for its high performance and reliability. Founded in the early 1940s, the company has become a trusted brand globally","Duracell is relocating its Research and Development (R&D) headquarters from Bethel, Connecticut, to Atlanta, Georgia. The new facility, set to open in Summer 2026 at Science Square Labs, will feature state-of-the-art laboratories, modern collaborative workspaces, and advanced technology infrastructure to drive innovation. This move aligns with Duracell’s strategic goals, offering access to Atlanta’s tech ecosystem and top-tier talent while maintaining proximity to its manufacturing facilities. The transition is expected to create over 100 new jobs, reinforcing Atlanta’s position as a growing hub for technological advancements.

",100,2026 + ,"By SmartSuite Form on Feb 24, 2025"
"Leer Group - Elkhart, Indiana  -  -",Leer Group,"Elkhart, Indiana, United States",New Facility,"LEER Group is a leading manufacturer of fiberglass and aluminum truck caps and tonneau covers, operating under the umbrella of J.B. Poindexter & Co.. They are North America's largest supplier of these products, encompassing brands like LEER, SnugTop, and Century","Leer Group, an Elkhart-based truck accessories manufacturer, is consolidating its operations by transitioning all Mexico-based truck-cap and window production to the U.S., primarily in Elkhart. This move will create 40-50 new jobs and strengthen the company’s manufacturing presence in Indiana and Pennsylvania. The transition includes shifting Se-Gi Products' operations from Rosarito, Mexico, to State Wide Windows in Elkhart, and relocating truck-cap production from Mexicali, Mexico, to Elkhart and Milton, Pennsylvania. Additionally, Leer Group is completing a 100,000-square-foot fulfillment and distribution center in Elkhart, set to open with 10 new employees. The company previously invested $2 million in an Elkhart manufacturing plant in 2023.",,Undetermined,"By SmartSuite Form on Feb 24, 2025"
"Eastern Engineered Wood Products - Belton, South Carolina  -  -",Eastern Engineered Wood Products,"Belton, South Carolina, 29627, United States",New Facility,"Eastern Engineered Wood Products is a leading distributor of structural floor and roof systems to the professional contractor trade. They have a strong presence in the Northeastern United States, offering a high-service model that simplifies complex product offerings","Eastern Engineered Wood Products, a wholesale distributor of engineered wood products, is investing $18.7 million to establish its first South Carolina facility in Anderson County. The new distribution center, located at 110 Milliken Drive in Belton, will create 31 new jobs and serve lumber dealers and component manufacturers across South Carolina, Georgia, North Carolina, and Tennessee. Operations are expected to begin later in 2025, with full project completion in early 2026. The company received a $100,000 Set-Aside grant from the Coordinating Council for Economic Development to support site preparation and construction.

",,2025 - 4th Quarter,"By SmartSuite Form on Feb 24, 2025"
"DetraPel, Inc. - Charlotte, North Carolina  -  -","DetraPel, Inc.","Charlotte, North Carolina, United States",New Facility,"DetraPel, Inc. is a clean-tech advanced materials company based in Massachusetts, specializing in the synthesis and manufacturing of PFAS-free protective coatings. The company has recently secured a $7.6 million Series A funding round, which is expected to drive expansion and innovation in the industry","DetraPel, Inc., a clean-tech advanced materials company known for its appearance on ""Shark Tank,"" is relocating its headquarters and manufacturing operations to Charlotte. The company will invest $3.5 million and create over 30 new jobs in Southwest Charlotte. The new 40,000-square-foot facility is expected to begin operations in late spring or early summer 2025. Positions will include roles in engineering, research and development, technical support, and back-office operations, with an average salary of $71,794. CEO David Zamarin cited Charlotte's pro-business environment and thriving advanced manufacturing sector as key factors in the decision to relocate",30,2025 - 2nd Quarter ,"By SmartSuite Form on Feb 24, 2025"
"Norwalt Automation Group - Tampa, Florida  -  -",Norwalt Automation Group,"Tampa, Florida, United States",New Facility,"Norwalt Automation Group is a leading provider of custom automation solutions across various industries, including medical devices, household products, and more. Founded in 1971, the company has grown to become a trusted resource for high-quality automation machinery.","Norwalt Automation Group has recently opened a 28,000-square-foot manufacturing facility in Tampa. This expansion is expected to bring new job opportunities to the Bay Area, contributing to the local economy. The facility will focus on producing automation equipment, aligning with the company's commitment to innovation and growth in the manufacturing sector.",,Undetermined,"By SmartSuite Form on Feb 24, 2025"
"Pennsylvania Transformer Technology LLC - Raeford, North Carolina  -  -",Pennsylvania Transformer Technology LLC,"Raeford, North Carolina, 28376, United States",Expansion,"Pennsylvania Transformer Technology LLC (PTT) is a leading US-owned manufacturer of power transformers, known for its expertise in manufacturing a wide range of sizes and types of transformers for various industries, including electric utility and industrial applications 
","Pennsylvania Transformer Technology LLC is investing $102.5 million in an expansion project in Raeford, adding 217 new jobs. The company will build two new facilities totaling 300,000 square feet, supported by an $800,000 grant from the One North Carolina Fund. With an average salary of $64,949, the expansion is expected to add $14 million in payroll to the local economy.",217,Undetermined,"By SmartSuite Form on Feb 24, 2025"
"Combat Waffle Studios - Nokomis, Florida  -  -",Combat Waffle Studios,"195 Triple Diamond Boulevard, Nokomis, Florida, 34275, United States",Lease,"Combat Waffle Studios is a United States military veteran-owned games studio founded in 2022, known for its hit VR game Ghosts of Tabor. Headquartered in sunny Florida, the team aims to craft innovative virtual reality experiences.","Video game developer Combat Waffle Studios has signed a lease for a 23,349-square-foot industrial space at 195 Triple Diamond Blvd. in Nokomis, south of Sarasota. Previously occupied by Tervis, the space has been converted into a warehouse with VR testing areas, motion capture zones, and fiber-optic internet. Backed by Meta, Combat Waffle Studios, known for “Ghosts of Tabor,” expects to have 100 employees working from the facility. Ian Black Real Estate facilitated the lease on behalf of the landlord, 201 Triple Diamond Holdings LLC.",100,Undetermined,"By SmartSuite Form on Feb 24, 2025"
"ID Logistics - Kenosha, Wisconsin  -  -",ID Logistics,"6222 77th Avenue, Kenosha, Wisconsin, 53142, United States",New Facility,"ID Logistics is a global logistics and transport company with over 20 years of experience in supply chain management. Known for its innovative solutions and sustainable practices, ID Logistics operates across 18 countries, managing over 8 million square meters of warehousing facilities.","France-based ID Logistics plans to use a 279,872-square-foot industrial building in Kenosha as a fulfillment center for Amazon. The facility, situated on a 14.6-acre site at 6222 77th Ave., was originally developed by Opus Development Company in 2022 and later sold to Pritzker Realty Group. This move strengthens ID Logistics' presence in the U.S. and supports Amazon’s growing logistics network.

",,Undetermined,"By SmartSuite Form on Feb 24, 2025"
"Hartford Technology Rentals - Orlando, Florida  -  -",Hartford Technology Rentals,"Satellite Boulevard, Orlando, Florida, 32837, United States",New Facility,"Hartford Technology Rentals is a leading provider of technology rental solutions for businesses and events, offering a wide range of equipment including iPads, laptops, and virtual reality gear. They serve corporations, small to medium-sized businesses, and event planners across the United States.","Hartford Technology Rentals (HTR) has launched a new rental distribution hub in Orlando, strategically positioned near major event venues such as the Orange County Convention Center. This expansion aims to enhance HTR's ability to provide rapid technology rental services for corporate events, trade shows, and exhibitions. The facility offers a wide range of equipment, 24/7 technical support, and faster delivery times, reinforcing the company’s commitment to supporting Orlando’s thriving event industry, which generates $3.5 billion annually.",,Undetermined,"By SmartSuite Form on Feb 24, 2025"
"Echo Global Logistics - Overland Park, Kansas  -  -",Echo Global Logistics,"Overland Park, Kansas, United States",New Facility,"Echo Global Logistics, founded in 2005 and headquartered in Chicago, is a technology-enabled transportation management company that streamlines supply chain operations for businesses of all sizes. The company offers comprehensive freight brokerage and logistics services across multiple transportation modes, including truckload, less-than-truckload (LTL), intermodal, and expedited shipping. Echo leverages its proprietary technology platform to connect shippers with carriers efficiently, providing real-time visibility and optimization throughout the shipping process. After operating as a publicly traded company on the NASDAQ under the ticker symbol ""ECHO,"" the firm was acquired by private equity firm The Jordan Company in 2021 in a transaction valued at approximately $1.3 billion. Echo continues to focus on simplifying transportation management through its innovative technology solutions and service excellence.","Chicago-based third-party logistics (3PL) provider Echo Global Logistics has expanded its Kansas City presence by opening a new, larger office in Overland Park, Kansas. Modeled after its Chicago headquarters, the new space features modern conference rooms, huddle spaces, phone rooms, a fully equipped kitchen, and a game room, fostering both productivity and employee engagement. Currently housing 50–60 representatives, the office has the capacity to expand to 100 employees. Echo sees the new space as a way to enhance its services, host client meetings, and support its growing Kansas City team.",0,Current,"By Matt Robbins on Feb 20, 2025"
"ABARTA Coca-Cola Beverages - Harrisburg, Pennsylvania  -  -",ABARTA Coca-Cola Beverages,"Harrisburg, Pennsylvania, United States",New Facility,,"ABARTA Coca-Cola Beverages announced a $100 million investment in a new 240,000-square-foot sales and distribution center in Harrisburg. The facility, developed by its subsidiary ACCB Harrisburg RE, LLC, will feature advanced automation technology, including the Vertique system for case-picking and pallet-building, to improve efficiency. The company has acquired land in South Lebanon Township and plans to break ground in Summer 2025, with full operations expected by the end of 2026. BW Design Group has been selected for planning and construction. The facility will serve as a key hub, supporting ABARTA Coca-Cola’s distribution across Pennsylvania, West Virginia, and Ohio.",0,2026 + ,"By Matt Robbins on Feb 19, 2025"
"Cremer North America - Cincinnati, Ohio  -  -",Cremer North America,"Cincinnati, Ohio, United States",Expansion,"Cremer North America is a leading oleochemical supplier based in Cincinnati, Ohio. They serve customers globally with a focus on providing top-quality products and personalized service. The company is a subsidiary of CREMER Holding Company, based in Hamburg, Germany.","CREMER North America has expanded its Cincinnati production plant by adding a third production line to enhance manufacturing efficiency and strengthen customer partnerships. This expansion reflects the company’s commitment to innovation and scalability. The new line will increase staffing by 10%, providing employees with cross-training opportunities and career growth.",,Undetermined,"By Ximena Castillo on Feb 17, 2025"
"Key Tronic Corporation - Springdale, Arkansas  -  -",Key Tronic Corporation,"Springdale, Arkansas, United States",Expansion,"Key Tronic Corporation is a leading contract manufacturer specializing in electronic manufacturing services, including PCB assembly, plastic molding, and full product assembly. Founded in 1969, the company has evolved into a global provider of value-added design and manufacturing services. 
","Key Tronic Corporation, a provider of electronic manufacturing services, is investing over $28 million to establish manufacturing and R&D operations in Springdale, AR. The expansion involves relocating the company’s existing Arkansas operations to a larger facility at 601 W Apple Blossom Avenue and is expected to create over 400 jobs within five years.

",400,2026 + ,"By La'Teef Hicks on Feb 17, 2025"
"JLG Industries, Inc. (Oshkosh Corporation) - Frederick, Maryland  -  -","JLG Industries, Inc. (Oshkosh Corporation)","Frederick, Maryland, United States",New Facility,"JLG Industries, Inc. is a leading manufacturer of access equipment, including aerial work platforms, telehandlers, and scissor lifts. The company is a subsidiary of Oshkosh Corporation and operates globally, serving various industries such as construction and industrial maintenance.","JLG Industries, a manufacturer of mobile elevating work platforms and a subsidiary of Oshkosh Corporation, is establishing a new 113,000-square-foot R&D facility at Riverside Research Park in Frederick, MD. The expansion underscores JLG’s commitment to innovation and customer-focused product development. The project is supported by a $500,000 conditional loan from the Maryland Department of Commerce, along with additional incentives from Frederick County and the City of Frederick. Maryland officials have praised the company’s continued investment in the state, highlighting its economic impact and job creation potential. JLG's products serve industries such as construction, industrial maintenance, and material handling.",,Undetermined,"By Ximena Castillo on Feb 17, 2025"
"Great Lakes Sound & Vibration, Inc. (GLSV) - , Michigan  -  -","Great Lakes Sound & Vibration, Inc. (GLSV)","Michigan, United States",Expansion,"Great Lakes Sound & Vibration, Inc. (GLSV) is a small business specializing in noise and vibration engineering, with a focus on the North American defense market. They offer comprehensive solutions for sound, vibration, and shock problems. 
","Great Lakes Sound & Vibration, Inc. (GLSV), a defense solutions manufacturer, is expanding its operations in Franklin Township, MI, with an $8.5 million investment. The expansion will add 26,000 square feet to its existing airpark facility, consolidating manufacturing operations and creating 42 new jobs in Houghton County.

",42,Undetermined,"By La'Teef Hicks on Feb 17, 2025"
"Dongjin Semichem Texas, Inc. - Killeen, Texas  -  -","Dongjin Semichem Texas, Inc.","Killeen, Texas, United States",New Facility,"Dongjin Semichem Texas, Inc. is a leading global manufacturer of fine chemicals for the semiconductor, display, and energy industries. Recently, the company announced plans to construct a 91,000 square-foot plant in Killeen, Texas, valued at $70 million. This project is expected to create 24 new jobs and is supported by a $2.4 million grant from the Texas Semiconductor Innovation Fund.","Dongjin Semichem Texas, Inc. is a leading global manufacturer of fine chemicals for the semiconductor, display, and energy industries. Recently, the company announced plans to construct a 91,000 square-foot plant in Killeen, Texas, valued at $70 million. This project is expected to create 24 new jobs and is supported by a $2.4 million grant from the Texas Semiconductor Innovation Fund 
",24,Undetermined,"By Ximena Castillo on Feb 17, 2025"
"Loukus Technologies - Calumet, Michigan  -  -",Loukus Technologies,"Calumet, Michigan, United States",New Facility,"Loukus Technologies is an advanced materials development company specializing in creating custom alloys for industries like energy, defense, and automotive. They focus on transitioning innovative technologies into commercial products through partnerships and manufacturing. 
","Loukus Technologies, a company specializing in advanced materials development and casting technologies for the defense and energy sectors, is expanding its operations in Calumet, MI, with a $1.6 million project that will create 48 jobs. The new facility, located next to its existing site, will house machining, finishing, packaging, and shipping operations.

",,Undetermined,"By La'Teef Hicks on Feb 17, 2025"
"Pulse Primary Care - Livonia, Michigan  -  -",Pulse Primary Care,"Livonia, Michigan, United States",New Facility,"Pulse Primary Care is a comprehensive healthcare provider offering primary, family, and urgent care services. They focus on providing personalized, patient-centered care through innovative technologies and a holistic approach to health management.","Pulse Primary Care is establishing its headquarters in Livonia, MI, with a $10.5 million investment expected to create at least 579 jobs. The new facility will serve as a technology hub and training center for care managers, supporting the company's innovative approach to primary care through advanced health monitoring technology. ",579,Undetermined,"By Ximena Castillo on Feb 17, 2025"
"AeroVironment (AV) - Salt Lake City, Utah  -  -",AeroVironment (AV),"Salt Lake City, Utah, United States",New Facility,"AeroVironment, Inc. (AV) is a global leader in unmanned aircraft systems, known for its innovative technologies in robotics, sensors, and AI. Founded by Dr. Paul MacCready in 1971, the company has been at the forefront of developing autonomous robotic systems for the defense, government, and commercial sectors. 
","AeroVironment (AV), a leader in autonomous and intelligent multi-domain systems, has announced the opening of FreedomWerx, a 200,000-square-foot advanced manufacturing facility in Salt Lake City, UT. This new facility is part of AV’s distributed production strategy, aimed at ensuring resilient manufacturing and uninterrupted delivery of precision-strike autonomous systems to defense partners. Strategically located near Salt Lake City International Airport, FreedomWerx is expected to create over 500 high-paying jobs while strengthening Utah’s role in defense innovation.

",500,Undetermined,"By La'Teef Hicks on Feb 17, 2025"
"Rainforest Distribution - Fort Pierce, Florida  -  -",Rainforest Distribution,"Fort Pierce, Florida, United States",Lease,"Rainforest Distribution is a leading full-service distributor for innovative, healthy, and emerging foods & beverages. Founded in 2012, it has become the East Coast's top distributor, known for building brands and providing value-added services.","Colliers South Florida has successfully secured a long term lease at Interstate Commerce Center, a Class A distribution warehouse in Fort Pierce, FL. T Rainforest Distribution was drawn to the property’s prime central location in Florida, which offers seamless access to key transportation routes. As a full-service food and beverage distributor serving over 4,000 retailers across 22 states along the East Coast, the company relies on strategically positioned distribution centers in Florida, Georgia, North Carolina, Virginia, Maryland, New Jersey, and Massachusetts. Its company-owned, direct-store-delivery network ensures efficient logistics, making the property ideal for its operations.",,Undetermined,"By Ximena Castillo on Feb 17, 2025"
